"","dataset$id[!is.na(dataset$id)]","Obrashenie","cluster"
"11","14","По экологической ситуации в данном документе не учтено сжигание мусора и отходах в частном секторе и придорожных кафе-шашлычных. В нашем районе воздух существенно ухудшился только из за того, что в двух близлежащих точках сдвигается мусор от овощных павильонов и магазинов у дома. Владельцы этих предприятий вероятно пытаются экономить расходы на вывоз мусора и передают данный мусор желающим его сжечь, взамен на остатки продуктов или овощей. 
Приезжайте в наш район с 17-18 часов и все сами увидите. Исеналиева-Арычная, Сыргабекова-Восточная. Это верхняя часть города. И да две груши на нашем участке болеют последние 2 года от ухудшения качества воздуха.
Также воздух загрязняется от грузового транспорта, достаточно посмотреть на чёрный дым из выхлопных труб. 
Например если взять Барселону, город большой, транспорта много, но можно спокойно пить кофе в придорожном кафе на улице и нет никакого запаха от транспорта.",3
"12","15","Сейчас в городе ужасная экологическая ситуация, население страдает аллергией и прочими болезнями дыхательных путей. Считаю правильным постепенно уменьшать количество автотранспорта в личном пользовании жителей города Алматы, повышая налоги на транспорт, увеличивая таможенные пошлины и т.д. Также нужно увеличивать количество общественного транспорта и заниматься озеленением города.",4
"13","16","Добрый день, хотела поблагодарить за Ваш труд и возможность диалога с Алматинцами. Но немного не понятно как вносить предложения. Написаны только общие декларируемые положения развития. К каждому заявленному пункту желаемого развития должны быть четко определенные задачи как это будет достигаться. Например, написали глобально : улучшить обеспеченность населения лекарственными средствами.Как это будет осуществляться? И только зная Ваши планы как Вы собираетесь это делать - горожане могут вносить предложения. Возможно документ не весь представлен на сайте. Хотелось бы видеть все таки задачи к данной стратегии. Спасибо.",4
"14","17","Рассмотрев представленный проект у меня возникло ряд вопросов по его наполнению, излагаю их ниже:

1. Отсутствует положение об утверждении и защите генерального плана, что в последующем является риском для реализации указанных инициатив. Основная часть данных идей и предложений должна найти свое полное отражение в данном документе, и необходимость его принятия в ближайшие годы должна быть закреплена в данном документе.
Предложение: включить отдельным разделом, с указанием сроков и ответственных.

2. Сделан акцент на изношенность коммунальных сетей, однако, отсутствует упоминание о необходимости рационального использования бюджетов СЕМами, и расширение влияние общественного контроля за данными направлениями.
Предложение: закрепить в соответствующем разделе с учетом механизмов Smart city.


3. Раздел развития РЧК не включает в себя подготовку кадров для реализации представленных инициатив, предполагая наличие достаточных и компетентных ресурсов для его внедрения. Необходимо включить положение о поэтапной подготовке достаточного количества высококвалифицированных специалистов в этой сфере, а также предусмотреть механизмы привлечения зарубежных кадров для переобучения в соответствии с мировыми тенденциями.
Предложение: проработать с отраслевыми ассоциациями и включить такие механизмы в отдельный раздел.

4. В разделе реализации стратегии, в пункте - экономический рост, предусмотреть использования механизмов стимулирования развития микро бизнеса, в частности налоговые преференции, развитие СЭЗ.
",3
"15","18","Здравствуйте с<U+04D9>лем, меня устраивает то что заложено в 2050 единственно не устраивает это заработные платы так как продукты питания цены ещё выше поднялись а вот о зарплатах не поднимают темы. В связи с этим прошу поднять зарплаты до минимальной отметки до двухсот тысяч тенге. Решите в первую очередь критический вопрос о зарплатах! Благодарю за внимание!",3
"16","19","Предложение 
- Реорганизовать структуру в Акимате Алматы и районных Акиматов
Службы отвечающие за ремонт дорог и прокладки труб (инфраструктуры), это ведь не секрет что после того как прокладывают трубы закладывают новый асфальт, и сразу после этого кладут новый асфальт или на оборот ложа новый асфальт потом через некоторое время опять меняют трубы тут высокие коррупционные риски
- Прошу Везде установить предупреждающие знаки о снимании камер СЕРГЕК и других, в начале начали устанавливать потом перестали, участники дорожного движения и простые граждане РК, должны знать, а власти обязаны предупредить что их снимают на камеру 
- Конечно хорошо когда работы отдают частникам, но есть сферы откуда государство не должно уходить 
- ЖКХ 
- Здравоохранение ( можно так рассчитать чтобы на вызов 103 экипажи в течении 1 минуты были на месте уверен что есть методы просчёта  ) 
- Общественный транспорт 
- Безопасность ( можно так рассчитать чтобы на вызов 102 экипажи в течении 1 минуты были на месте уверен что есть методы просчёта  ) 
- Ни одна камера еще не спасла жизнь и не предотвратила ДТП хорошие дороги и освещение ночью
- Тариф на ЖКХ должен быть под жестким контролем любой монополист может обосновать повышение, но задача Акимата забодится о гражданах и держать как минимум 10-15 лет тариф должен быть понятен и предсказуем тоже самое с ГСМ почему бы не понизить цену 
ведь её можно понизить ? 
- Также конечно это забота о ветеранах ВОВ, Афганцах их и так уже не так мало 
- Верните льготы гос служащим бесплатный проезд в общественном транспорте 
- Отдельные надбавки от Акимата сотрудникам МВД Здравоохранения ЖКХ, например как вариант неосвоенные деньги какое то процент 15%-20% от всей суммы бюджета пусть каждый год идёт как 13 зарплата Госслужащим на это нужно отдельное постановление Маслихата
за счёт этого будет  стимул работать на Государство то есть в итоге на Защиту интересов Граждан РК

",3
"17","20","Глупость ярко освещать дворы по ночам, это вредно для здоровья-видеть яркий свет ночью.
Опыт Нур-Султана показал, что LRT это источник коррупции, нужно забыть про быстрый трамвай и LRT.
Мне не нравится, что из меня хотят сделать цифровую копию.
Ничего нет про ужесточение наказания за шум в ночное время, за незаконную посуточную сдачу квартир. Неясен механизм общественного участия в принятии важных решений.
Разогнать общественные советы, в которых заседают сплошь ветераны МВД и госорганов.",3
"18","21","Удачи вам в ваших начинаниях. Хотелось бы чтобы вы обратили внимание на такую организацию как АЖК,куда не обратись везде берут деньги. Приобрёл земельный участок в Бостандыкском районе по документам чистый, но оказалось что там находится ТП (трансформаторная подстанция) мне пришлось полностью оплатить перенос этого объекта за свой счёт. Я считаю что действия АЖК были не правомерно. Они продают электроэнергию населению и получают прибыль. Почему я один понёс расходы, ведь они получают деньги с полусотни потребителей.Прошу вас разобраться с этим вопросом. Коррумпированная компания на корню. Надеюсь на ваш ответ.",3
"19","22","Пожалуйста, отмените строительство БРТ по улице Желтоксан. В центре города есть наверное всего две улицы, по которым можно спокойно проехать в любое время суток, это Мира и Дзержинского. Сейчас там есть автобусные полосы и по ним спокойно идет поток общественного транспорта. БРТ полностью парализует движение по этим улицам",5
"20","23","Мое предложение заключается в том, чтобы акимат города обязал все учебные заведения установить в школах/университетах контейнеры для мусора в зависимости от его происхождения. Это даст хороший толчок с ранних лет приучаться к разделению мусора для его переработки .",3
"21","24","Доброго времени суток, уважаемые сотрудники акимата города Алматы.

Хочу обратиться с предложениями и просьбой касательно нашей главной, по моему мнению, достопримечательности города – Заилийский Алатау.

Вместе со своей женой я часто посещаю алматинские горы. В каждом восхождении замечаю иностранцев, проживающих в Алматы или являющихся гостями. Причем иностранцы с разных континентов: японцы, европейцы, американцы. Зачастую они самостоятельно совершают восхождение - без сопровождения, то есть, эти люди уже неоднократно посещают эти места. В связи с этим прошу и предлагаю улучшить логистические проблемы, с которыми сталкиваются гости и я сам. В выходные дни добраться до города после спуска с гор, не имея личного транспорта, очень проблематично. Курсируемые с горнолыжного катка ""Медеу"" автобусы переполнены, даже при всем желании в них невозможно зайти, особенно с горным снаряжением. Предлагаю увеличить количество маршрутных автобусов, хотя бы в выходные дни. 

Частные такси отказываются присылать в эти места транспорт, ссылаясь на большую загруженность, или же предлагают крайне завышенную стоимость поездки. Даже с личным транспортом можно испытать трудности - парковки в некоторых местах имеются, однако они не охраняемые. И если человек отправляется в горы с ночевкой, то с личным транспортом может произойти что угодно.

Также прошу рассмотреть предложение о сохранение экологии в алматинских горах. Я уже слышал о возможном введении запрета на проезд на ""неэкологическом транспорте"" в ущелье Алма-Арасан. Почему бы не рассмотреть и подобный запрет на проезд выше катка ""Медеу"", или введение специальной пошлины для проезда. Увеличение количества общественного транспорта, курсируемых в горы, при запрете для частных машин, может окупить себя. Опять же, в режиме испытания, можно ввести запрет для частных ""неэкологических"" машин только в выходные дни. 
",3
"22","25","Добрый день! Как коренной житель города Алматы, хотел бы добавить комментарий:
1)Почему не рассматривается вопрос о введении какого либо платного тарифа для въезда иногороднего;областного транспорта в пределы города? Ведь количество въезжаемого транспорта просто колоссально. Ведь для данной категории водителей можно было бы создать льготы на общественный транспорт.
2) Почему не поднимается вопрос о строительстве оставшихся транспортных развязок по улице имени Рыскулова Т.Р.?
",4
"23","26","По велотранспорту.  сделайте скидки на покупку велосипедов нормальных производителей.
К примеру Giant, merida стоят под 200 000 тг. нормальные комфортабельные велосипеды.
если акимат платил бы 50% от этой цены, то я б с удовольствием купил бы себе велосипед за 100 000 тг и комфортабельно передвигался на велосипеде, а не на авто. 
",3
"24","27","Добрый день!Прошу разобраться платным парковками для автомашины. Прошу уменьшит штраф при не оплате за парковку. Разъяснят народу при парковке оплатит или при выезде. Бывает что аппараты не работает и автовладелец за не оплату получают штрафы. Например я перед работой парковал машину каждый день иногда забываешь оплатить, на данный момент у меня штраф составляет 140 000тенге. Можно это как то решит?",3
"25","28","Замените ТЭЦ-2 с угля на газ! 
сделайте покупку велосипедов доступной и тоже самое касается гидроскутеров и прочих электрических передвижных средств.",3
"26","29","В целом все неплохо расписано, опять же сроки большие. эта программа должна быть хотя бы 2030 а лучше 2025,
1.Для поднятия уровня жизни предлагаю сделать как в Европе - Почасовую оплату с минимальной фиксированной ставкой в час, для всех работников. т.е. к примеру работник не может получать меньше  4000тг в час. и т.д. и каких специальностей не хватает повышать эту ставку на эти специальности, тогда люди будут хорошо работать и хорошо жить.
2.Сделать налоги в зависимости от доходов. Если зарабатываешь к примеру до 200.000тг то платишь меньше, если от 200.000 допустим до 500.000 то налог увеличивается. и по мере увеличения доходов увеличивать налоги.
3.Запретить машины старше 10 лет. Или ввести на них большие налоги за ущерб экологии.И пускать эти налоги на экологическое обустройство города
4.Ввести огромные штрафы за нанесение вреда экологии в плоть до уголовной ответственности.(У нас к примеру владелец Медины жгет пластик в районе, мы заявление писали. он штраф небольшой заплатил и дальше жгет. Весь ПМК-610 по улице коржын задыхается.... и никакой управы нет на эту Медину)
5. Пустить большие пригородные автобусы, потому как в маленькие с утра не реально залезть. Особенно по джандосова которые едут от каменки и поселков.
6. Расширить улицы и проспекты. А то понастроили заборов и домов. Людям ходить негде.
7. Запретить строить высокие дома, потому как из-за них город вообще перестал продуваться. Раньше ветер дул в городе, сейчас уже нету его.
Сделать побольше парков, особенно на окраинах города. Гулять негде. А ехать в ближайший парк далеко и долго.
8. А самое главное искоренить откаты на услугах, взятки и т.д.(может это не по теме, но актуально) Как в Китае сделать, и все сразу заработает.  
",3
"27","30","чуть ли не каждый год меняют старые железные трубы теплотрасс  на ТАКИЕ ЖЕ ЖЕЛЕЗНЫЕ.
Почему не берут пример с европейских стран, где железные трубы поменяны на пластиковые.
Срок пластиковых труб ( если не брать через агашку с откатом) гораздо выше, чем у железных. Плюс вода не будет ржавой. но наши делают по старинке.",3
"28","31","Строительство по мировым стандартам - очень расплывчатое заявление. Значит ли это, что существующие СНИПы бесполезны и неприменимы? Или нельзя ли дать четкий ориентир на стандарты строительства в аналогичных сейсмоопасных зонах, например в Японии или Тайване? Затем, есть ли в РК достаточное производство необходимых марок цемента, строительного железа и прочего? Не приведёт ли ваша политика строительства по «мировым» стандартам к увеличению импорта и игнорированию местных производителей и предпринимателей?",3
"29","32","ПРЕДЛОЖЕНИЕ - ВЕРНУТЬ ВСЕ ЗАБОРЫ И ЗАБОРЧИКИ, КОТОРЫЕ БЫЛИ СНЕСЕНЫ. И ПОСТАВИТЬ МАКСИМАЛЬНО БОЛЬШЕ ОГРАЖДЕНИЙ ВО ИЗБЕЖАНИЕ НЕЗАКОННЫХ СТОЯНОК АВТОМОБИЛЕЙ, СВОБОДНОГО ПЕРЕДВИЖЕНИЯ ЖИТЕЛЕЙ И ГОСТЕЙ ЮЖНОЙ СТОЛИЦЫ, БЕСПРИПЯТСТВЕННОГО РОСТА РАСТЕНИЙ. СПАСИБО ЗАРАНЕЕ.",3
"30","33","Здравствуйте, дачный массив по ул. Шокая 304 сейчас Медеуский район, у нас нет воды лишь одна колонка на весь район, взрослые, дети и старики вынуждены стоять в очереди по несколько часов за водой. Уже несколько лет мы делаем обращение к властям города и района но к сожалению этот вопрос не решается. Пожалуйста обратите внимание проведите воду, мы живём в городе Алматы в 21 веке как такое вообще возможно?",3
"31","34","1. В разделе ""Возрастающее социально неравенство, риски обеднения и маргинализации части населения"" показывать информацию в разрезе районов ни по уровню средней заработной платы"", а сделать градацию по группам в разрезе районов: 
- ниже 50 тыс. тенге,
- от 50-100 тыс. тенге,
- от 100 тыс тенге и выше.
Такую же градацию следует отразить в целом и, по городу Алматы.
Стоит отметить, что средняя зарплата не отражает реальных доходов населения, а лишь дает поверхностную картину о зарплате, которое большинство населения не получает.
Вместе с тем, метод градирования по группам позволит выявить доходы населения и их покупательскую способность, и тем самым разработать более действенные меры по повышению доходов населения.  
2. При разработке плановых значений показателей ""Стратегии-2050""
",3
"32","35","Будет ли разработан единый стандарт по выкупу ветхого жилья / жилья под снос для государственных нужд?
Касательно экологии: неужели нельзя прямо сейчас отправить на улицы экологические патрули для выявления и борьбы с чадящими автобусами, грузовиками и легковыми машинами? Неужели для элементарного действия надо ждать много лет?",3
"33","36","Знакомая одна рожала. с ней в палате была девочка 22 года. у нее 2 дня были схватки и сильные боли. лежала ревела. пошла к дежурному врачу, и та попросила 60 тыс тг, и только потом поможет. У девочки денег не было. она мучалась еще 3 часа. 
Затем знакомая посоветовала пригрозить врачу, что все расскажет глав врачу и в соц сети, если ей не будет оказана помощь, гарантированная государством. только после этого дежурный врач зашевелился.Благо, когда об этом узнал глав врач, то девочке сразу помогли и притом этот же глав врач даже не заикнулся об ""благодарности"".  И ТАКИЕ СЛУЧАИ ПОСТОЯННЫ. ЕСЛИ НЕ ПЛАТИШЬ, К ТЕБЕ ОТНОШЕНИЕ, КАК К СОБАКЕ БЕЗДОМНОЙ. МОЖЕТ ПОМОГУТ, А МОЖЕТ И НЕТ.",3
"34","37","Здравствуйте уважаемый Бахытжан Абдирович!
Прошу включить в Стратегию развития Алматы до 2050 года решение многолетней и безрезультатной проблемы бездомных бродячих животных, создав в городе Алматы приют для бездомных животных и запретить коммунальным службам замуровывать проходы в подвалах жилых домов.
На первый взгляд приют для бездомных животных никакого отношения к эффективности экономики города не имеет, но если рассматривать всё - таки социальную экономику, экономику для человека, то именно человеческое отношение к животным очень актуально в наше время. Поэтому создание приюта с выделением земельного участка станет решением бездомных животных на локальном и глобальном уровне, а стерилизация, лечение, корм и т.д. - в свою очередь, будет производиться из благотворительных пожертвований граждан, как это делается в цивилизованных странах.
Кроме того, прошу обратить внимание, что для создания приюта не нужны дополнительные бюджетные средства, в частности, вместо ежегодного выделения около 100 миллионов тенге из городского бюджета Алматы, которые уходят на отлов и умерщвление бродячих животных, можно направить эти же средства на создание приюта для животных для мобилизации организационных и финансовых ресурсов и  осуществления контроля поголовья бродячих животных; создания службы поиска и спасения потерянных домашних животных и дальнейшего их возвращения хозяевам или их передачи в «хорошие руки»; санитарной обработки; вакцинации и стерилизации бродячих животных.
Более того, предлагаю сохранить в подвалах жилых домов проходы для бездомных кошек, соответствующие “продыхи” размером 15 на 15 см для того, чтобы кошки могли выходить из подвала и заходить в подвал, такие отверстия необходимы в подвалах для воздухообмена, поэтому их нельзя замуровывать в любом случае. Вместе с тем, коммунальные службы замуровывают отверстия подвалов жилых домов, что потом является следствием размножения блох, тараканов и других паразитов, но что самое ужасное, заживо замуровываются находящиеся в подвалах кошки, поэтому прошу сохранить возможность использовать проходы в подвалах для животных.
Деятельность организации в вышеуказанном направлении создаст положительные факторы для более гуманного отношения к домашним животным; обеспечит необходимые условия для улучшения санитарно – эпидемической обстановки в городе Алматы, а также увеличит поток туристов со всех стран.
В настоящее время только акимат города Нур-Султан откликнулся на проблему бродячих животных и выделил деньги на строительство приюта для бездомных животных, во всех остальных городах Казахстана на улицах брошены миллионы домашних животных, которые в большинстве случаев голодные, больные и опасные для окружающих. И после того как они нападают на людей, те сразу звонят специалистам, которые занимаются отловом бродячих животных. Но сообщить о нападении – не значит ликвидировать проблему, поэтому наша главная идея – перенаправить действия по саночистке города с уничтожения животных на цивилизованную работу с ними. Из бюджетов города и предприятий тратятся немалые средства на умерщвление кошек и собак. Хотя, как показывает мировая практика, такая работа бессмысленна и экономически невыгодна. На место убитых животных приходят новые, поэтому ораздо эффективнее стерилизовать четвероногих, заниматься их пристройством, социальной адаптацией.
Таким образом, если в городе Алматы создать приют для бездомных животных и запретить коммунальным службам замуровывать проходы в подвалах жилых домов, то поменяется культура поведения алматинцев, их отношение к своим и чужим животным. Брошенных собак и кошек станет меньше, и, тем самым увеличится поток туристов со всех стран, т.к. сейчас многие иностранцы при посещении Казахстана, видят стаи голодных брошенных бездомных животных, и после этого уже не хотят возвращаться в Казахстан и передают это своим соотечественникам, которые судят о нашей культуре по нашему равнодушному отношению к братьям нашим меньшим.
с уважением, Алинура Конарбаева",3
